perfume_id,item_name,brand,theme,note,perfumer,gender,tags,url
678018,巴波 Babor Babor Women No. 2,巴波,,"香柠檬,小苍兰,茉莉,玫瑰,香草,檀香木,广藿香",,,,https://www.nosetime.com/678018-
928028,"Louis  Louis Second Skin, 2024",Louis,木质调,"醛,雪松,檀香木,香草,雪松,檀香木,香草,香草",,,"醛,清新,皂感",https://www.nosetime.com/928028-
630666,"美如致雅 1916香水 Myrurgia 1916, 1982",美如致雅,柑橘调,"柠檬,迷迭香,香柠檬,橙花",,,"柑橘,芳香植物,清新辛辣,白花",https://www.nosetime.com/630666-
126023,"亚历山德拉格鲁克 Alexandra Gluck Prospekt Mira (Проспект Мира), 2017",亚历山德拉格鲁克,,"晚香玉,木槿,鸢尾花,玫瑰,橙花油,咖啡,板栗,香草,焦糖,小麦,没药,烟草",Alexandra Gluck,,"咖啡,温暖辛辣,花香,白花",https://www.nosetime.com/126023-
553608,"Iyde İydə Simfoniya, 2017",Iyde,花果香美食调,"草莓,梨,茉莉,水仙花,广藿香,玫瑰,白巧克力",,,"甜,水果,白花,玫瑰",https://www.nosetime.com/553608-
871630,"阿布杜尔·卡里姆·法洛丽丝 Abdul Karim Al Faransi Sheikh Al Faransi, 2015",阿布杜尔·卡里姆·法洛丽丝,木质调,"琥珀,木质香,龙涎香,糖果,花香,沉香(乌木),檀香木",Anthony Abdul Karim Marmin,,"东方,木质,甜,沉香",https://www.nosetime.com/871630-
178766,"Max Philip Brown, 2021",Max Philip,皮革调,"藏红花,小豆蔻,广藿香,沉香(乌木),檀香木",,,"温暖辛辣,木质,皮革,沉香",https://www.nosetime.com/178766-
526708,"黑屋  Maison Noir Volantis 685, 2023",黑屋,花香东方调,"藏红花,白色皮革,茉莉,鸢尾花,雪松,果仁糖,降龙涎香醚,白色皮革,茉莉,鸢尾花,雪松,果仁糖,降龙涎香醚,雪松,果仁糖,降龙涎香醚",,,"木质,东方,白花,甜",https://www.nosetime.com/526708-
292490,"萨丁岛之水 Acqua di Sardegna Maijda Donna, 2011",萨丁岛之水,,"柠檬,香柠檬,葡萄柚,百里香,牡丹,玫瑰,木兰,香草,广藿香",,,,https://www.nosetime.com/292490-
815121,希尔之香 CIEL Parfum Demi-Lune Corrida,希尔之香,水生芳香调,"迷迭香,红苹果,柠檬,薰衣草,海水,雪松,琥珀",Jean Jacques,,"芳香植物,木质,清新辛辣,东方",https://www.nosetime.com/815121-
994154,"奥坦尼 OTTANIQO Happy Dolphin, 2016",奥坦尼,辛辣芳香调,"薰衣草,雪松,小豆蔻,薄荷,橙花,肉桂,牛至叶,麝香,香草,零陵香豆,木质香",Christian Provenzano,,"芳香植物,木质,温暖辛辣,香草",https://www.nosetime.com/994154-
729660,"液态金钱 Liquid Money His Money, 2011",液态金钱,水生木质调,"柑橘,青草,迷迭香,木质香,海水",Larry Murrison,,"芳香植物,木质,清新,柑橘",https://www.nosetime.com/729660-
860471,"东方 天鹅绒黄金 Orientica Velvet Gold, 2022",东方,花香调,"粉红胡椒,焦糖,紫罗兰,香柠檬,广藿香,脂粉味,玫瑰,麝香,动物气息,香草",,,"脂粉,麝香,焦糖,香草",https://www.nosetime.com/860471-
243930,"血色气息 红色+MA Blood Concept RED+MA, 2012",血色气息,,,Antoine Lie,,,https://www.nosetime.com/243930-
996493,"Pocket Scents 奥斯曼琥珀 Pocket Scents Ottoman Amber, 2022",Pocket Scents,东方调,"生姜,香柠檬,粉红胡椒,小豆蔻,龙蒿,香草,安息香脂,雪松,檀香木",,,"温暖辛辣,木质,芳香植物,香草",https://www.nosetime.com/996493-
486889,"兰博丽塔 Lambretta Cool Brit, 2009",兰博丽塔,,"柠檬,小豆蔻,鼠尾草,焚香",,,,https://www.nosetime.com/486889-
631562,"卓雅 黄昏的银影-星叶 Joya Shades of Dusk Starleaf, 2010",卓雅,花香调,"橙花,忍冬,蜂蜜,铃兰,茉莉,麝香",,,"白花,蜂蜜,麝香,甜",https://www.nosetime.com/631562-
188532,"LAVVIE PERFUMES  LAVVIE PERFUMES SANDAL WOOD, 2024",LAVVIE PERFUMES,花香东方调,"胡椒,香柠檬,肉桂,晚香玉,依兰,雪松,茉莉,檀香木,琥珀,香草,晚香玉,依兰,雪松,茉莉,檀香木,琥珀,香草,檀香木,琥珀,香草",,,"木质,东方,脂粉,晚香玉",https://www.nosetime.com/188532-
767060,"如新 NuSkin Fire, 2003",如新,,,,,,https://www.nosetime.com/767060-
688759,"蕾娜海 黑加仑之湾 Les Nereides Baie De Cassis, 2020",蕾娜海,,"醋栗叶,玫瑰,香根草",,,"芳香植物,玫瑰,木质,绿叶",https://www.nosetime.com/688759-
414848,"紫猫物语 美丽精灵 Novae Plus Pretty Fairy, 2006",紫猫物语,果香花香调,"黑加仑,香瓜,树莓,玫瑰,莲花,铃兰,雪松,檀香木,麝香",,,"水果,木质,玫瑰,花香",https://www.nosetime.com/414848-
864062,"新星 Nova Bea No. 3, 2014",新星,柑橘调,"汽水冰淇淋,木质香,柑橘",Julia Zangrilli,,"柑橘,木质,清新",https://www.nosetime.com/864062-
900411,"伊丽莎白雅顿 美人 Elizabeth Arden Arden Beauty, 2002",伊丽莎白雅顿,绿叶花香调,"绿叶,大米,鸢尾花,香柠檬,莲花,大黄,百合,生姜,兰花,麝香,檀香木,琥珀",Antoine Lie,,"绿叶,花香,脂粉,白花",https://www.nosetime.com/900411-
544067,Miss Kay Tropical Charm,Miss Kay,美食东方调,"牛奶,桃子,麝香,芦荟,香草,零陵香豆",,,"奶脂香,麝香,脂粉,香草",https://www.nosetime.com/544067-
680739,"Ayond  Ayond Metamorph, 2024",Ayond,,"乳香,公丁香,香柠檬,杜松,快乐鼠尾草,茉莉,艾草,冷杉,香根草,莎草,快乐鼠尾草,茉莉,艾草,冷杉,香根草,莎草,冷杉,香根草,莎草",,,"芳香植物,温暖辛辣,木质,清新辛辣",https://www.nosetime.com/680739-
201240,"圣陶尔香氛 巴约讷一日游 Parfums et Senteurs du Pays Basque Un Jour a Bayonne, 2008",圣陶尔香氛,辛辣芳香调,"薄荷,迷迭香,薰衣草,葛缕子,葡萄柚,无花果叶,胡椒,小茴香,甘草,芹菜籽",,,"清新辛辣,芳香植物,绿叶,柔软辛辣",https://www.nosetime.com/201240-
122575,"费拉 巴黎 Fellah Paris Velvet XI, 2021",费拉 巴黎,芳香柑橘调,"葡萄柚,木质香,琥珀",,,"东方,柑橘,木质,清新辛辣",https://www.nosetime.com/122575-
197940,"Pentalogies Etude 1.5: L’Odorat, 2020",Pentalogies,皮革调,"当归,仙客来,薰衣草,百里香,茴芹,琥珀,咖啡,阿米香树花,墨水,皮革,香根草,没药,藏红花,劳丹脂,纸莎草,红没药",,,"东方,皮革,芳香植物,温暖辛辣",https://www.nosetime.com/197940-
